timestep,start_lane,end_lane
24:08:00,10,19
24:11:00,22,1
24:12:00,10,19
24:17:00,16,2
24:17:00,17,1
24:19:00,4,14
24:19:00,6,7
24:21:00,12,13
24:27:00,11,18
24:30:00,10,19
24:34:00,15,8
24:35:00,4,14
24:36:00,16,2
24:37:00,17,1
24:44:00,21,8
24:44:00,22,7
24:45:00,20,14
24:46:00,11,18
24:46:00,10,19
24:49:00,4,14
24:51:00,17,1
24:51:00,16,2
24:55:00,15,8
24:56:00,20,14
24:57:00,21,8
24:58:00,22,7
24:59:00,11,18
24:59:00,10,19
25:03:00,12,13
25:04:00,3,18
25:04:00,4,14
25:08:00,15,8
25:13:00,22,7
25:14:00,11,18
25:15:00,21,8
25:16:00,10,19
25:17:00,6,7
25:18:00,9,2
25:22:00,15,8
25:24:00,20,14
25:26:00,3,18
25:27:00,4,14
25:28:00,16,2
25:31:00,17,1
25:34:00,21,8
25:35:00,22,7
25:37:00,10,19
25:38:00,11,18
25:45:00,16,2
25:45:00,15,8
25:46:00,17,1
25:48:00,3,18
25:49:00,4,14
25:50:00,6,7
25:51:00,5,13
25:52:00,9,1
25:56:00,20,14
25:57:00,22,7
25:58:00,10,19
25:58:00,11,18
25:59:00,21,8
26:04:00,16,2
26:04:00,17,1
26:04:00,15,8
26:07:00,3,18
26:08:00,4,14
26:14:00,15,8
26:19:00,22,7
26:20:00,11,18
26:21:00,21,8
26:21:00,22,7
26:23:00,10,19
26:25:00,3,18
26:25:00,4,14
26:25:00,5,13
26:25:00,20,14
26:29:00,16,2
26:32:00,15,8
26:38:00,10,19
26:38:00,11,18
26:40:00,9,2
26:41:00,20,14
26:42:00,5,13
26:46:00,22,7
26:46:00,21,8
26:51:00,3,18
26:52:00,16,2
26:52:00,6,7
26:52:00,4,14
26:54:00,17,1
26:56:00,15,8
26:58:00,11,14
26:59:00,10,19
26:59:00,21,8
27:01:00,12,13
27:01:00,22,7
27:04:00,17,18
27:04:00,6,7
27:05:00,4,14
27:05:00,20,14
27:05:00,17,1
27:07:00,5,13
27:10:00,16,2
27:13:00,15,8
27:14:00,16,2
27:14:00,4,14
27:17:00,11,18
27:17:00,22,7
27:17:00,21,8
27:20:00,10,19
27:20:00,12,13
27:22:00,22,1
27:24:00,20,14
27:28:00,17,1
27:28:00,15,8
27:29:00,16,2
27:30:00,12,13
27:30:00,4,14
