timestep,start_lane,end_lane
21:16,16,2
21:18,4,14
21:21,15,8
21:21,22,7
21:22,17,18
21:24,21,8
21:25,20,14
21:25,9,2
21:25,10,19
21:25,11,18
21:32,17,1
21:32,16,2
21:32,4,14
21:33,6,7
21:36,22,1
21:39,21,8
21:40,9,2
21:41,10,19
21:42,11,18
21:43,3,18
21:44,6,7
21:44,5,13
21:47,20,14
21:47,4,14
21:47,22,7
21:47,21,8
21:51,11,18
21:51,10,19
21:51,15,8
21:51,16,2
21:56,9,2
21:58,11,18
21:58,3,18
22:01,15,8
22:01,17,1
22:03,4,14
22:06,22,7
22:06,21,8
22:09,10,19
22:10,11,18
22:14,9,2
22:14,4,14
22:17,5,13
22:21,15,8
22:23,11,18
22:23,22,1
22:23,21,8
22:24,12,13
22:25,11,18
22:27,9,2
22:29,4,14
22:29,15,8
22:32,17,1
22:33,16,2
22:36,22,7
22:36,21,8
22:38,11,18
22:39,22,1
22:40,10,19
22:40,12,14
22:42,9,2
22:45,15,8
22:46,16,2
22:49,4,14
22:51,3,18
22:53,21,8
22:55,20,14
22:55,22,7
23:00,10,19
23:01,11,18
23:03,16,2
23:03,15,8
23:09,16,2
23:11,4,14
23:15,12,13
23:15,11,18
23:15,10,19
23:15,22,7
23:15,21,8
23:18,20,14
23:20,17,1
23:20,16,2
23:20,21,8
23:21,6,7
23:24,4,14
23:24,6,7
23:24,17,1
23:24,16,2
23:28,22,7
23:28,11,18
23:28,12,13
23:30,10,19
23:31,9,2
23:32,20,14
23:35,17,1
23:35,16,2
23:35,4,14
23:35,3,18
23:36,12,13
23:36,5,13
23:38,6,7
23:40,4,14
23:40,21,8
23:40,22,7
23:41,11,18
23:41,6,7
23:44,12,13
23:46,10,19
23:47,11,18
23:48,6,7
23:50,4,14
23:52,4,14
23:53,22,7
23:53,21,8
23:53,12,13
23:56,20,14
23:57,10,19
23:59,6,7
24:01:00,11,18
24:03:00,4,14
24:03:00,6,7
24:04:00,17,18
24:04:00,16,2
24:09:00,22,7
24:09:00,11,18
24:09:00,10,19
24:11:00,21,8
24:13:00,22,7
24:13:00,11,18
24:13:00,9,2
24:15:00,5,13
24:15:00,10,19
24:16:00,11,18
24:16:00,9,2
24:17:00,17,1
24:25:00,11,18
24:25:00,10,19
24:28:00,22,7
24:28:00,21,8
24:33:00,5,13
24:33:00,12,13
24:35:00,15,8
24:36:00,4,14
24:40:00,15,8
24:42:00,10,19
24:42:00,11,18
24:42:00,15,8
24:44:00,22,7
24:44:00,21,8
24:48:00,5,13
24:52:00,17,1
24:52:00,15,8
24:53:00,6,7
24:56:00,10,19
24:56:00,11,18
25:02:00,9,2
25:05:00,10,19
25:08:00,11,18
25:06:00,9,1
25:07:00,6,7
25:08:00,22,7
25:08:00,21,8
25:13:00,20,13
25:13:00,6,7
25:14:00,4,14
25:16:00,5,13
25:20:00,3,18
25:23:00,11,18
25:28:00,12,13
25:24:00,16,2
25:28:00,17,18
25:31:00,15,8
25:35:00,21,8
25:35:00,16,2
25:40:00,9,2
25:40:00,5,13
25:44:00,20,14
25:44:00,4,14
25:44:00,20,14
25:46:00,3,18
25:48:00,5,13
25:49:00,22,7
25:49:00,21,8
25:52:00,10,19
25:53:00,11,18
25:54:00,9,2
25:55:00,17,18
25:56:00,20,14
25:59:00,21,8
26:01:00,6,7
26:01:00,4,14
26:03:00,22,1
26:05:00,3,18
26:06:00,17,18
26:07:00,11,18
26:07:00,10,19
26:09:00,9,1
26:09:00,22,7
26:11:00,21,8
26:14:00,16,2
26:17:00,5,13
26:17:00,4,14
26:18:00,3,18
26:22:00,9,2
26:22:00,12,13
25:23:00,10,19
25:25:00,11,18
25:26:00,12,13
26:27:00,20,14
26:30:00,5,13
26:30:00,4,14
25:32:00,17,1
25:34:00,16,2
25:34:00,15,8
26:35:00,12,13
26:40:00,11,18
26:41:00,12,13
26:41:00,22,7
26:41:00,21,8
26:42:00,10,19
26:44:00,16,2
26:44:00,17,1
26:49:00,6,7
26:51:00,4,14
26:51:00,12,13
26:52:00,10,19
26:54:00,22,7
26:54:00,21,8
26:56:00,11,18
26:58:00,12,13
26:58:00,3,18
27:01:00,4,14
27:00:00,17,1
27:00:00,16,2
27:02:00,6,7
27:02:00,15,8
27:06:00,17,18
27:09:00,11,18
27:09:00,10,19
27:09:00,22,1
27:10:00,22,7
27:11:00,21,8
27:11:00,22,7
27:16:00,4,14
27:16:00,15,8
27:19:00,3,18
27:22:00,22,7
27:22:00,16,2
27:23:00,20,14
27:27:00,10,19
27:28:00,11,18
27:32:00,4,14
27:32:00,17,1
27:33:00,9,1
27:37:00,6,7
27:38:00,17,18
27:41:00,22,7
27:41:00,21,8
27:42:00,11,18
27:42:00,10,19
27:44:00,3,18
27:48:00,9,1
27:49:00,17,1
27:49:00,16,2
27:49:00,15,8
27:51:00,6,7
27:54:00,4,14
27:56:00,22,7
27:57:00,21,8
27:59:00,10,19
27:59:00,11,18
28:01:00,12,13
28:01:00,20,14
28:01:00,4,14
28:04:00,5,13
28:09:00,3,18
28:10:00,6,7
28:13:00,22,7
28:13:00,21,8
28:14:00,20,14
28:16:00,12,13
28:23:00,17,1
28:23:00,16,2
28:24:00,4,14
28:24:00,5,13
28:27:00,5,13
28:28:00,22,1
28:28:00,21,8
28:29:00,15,8
28:30:00,17,18
28:34:00,10,19
28:34:00,11,18
28:37:00,11,18
28:39:00,4,14
28:39:00,16,2
28:39:00,15,8
28:41:00,16,2
28:44:00,22,7
28:44:00,21,8
28:47:00,11,18
28:47:00,10,19
28:51:00,4,14
28:51:00,17,1
28:51:00,15,8
28:51:00,5,13
28:55:00,22,7
28:55:00,21,8
29:02:00,10,19
29:03:00,11,18
29:04:00,3,18
29:06:00,15,8
29:07:00,17,18
29:07:00,16,2
29:10:00,22,7
29:10:00,21,8
29:14:00,10,19
29:14:00,17,1
29:16:00,10,19
29:16:00,16,2
29:17:00,11,18
29:20:00,15,8
29:22:00,12,13
29:22:00,11,18
29:23:00,22,7
29:24:00,21,8
29:27:00,10,19
29:29:00,11,18
29:32:00,17,1
29:32:00,15,8
29:36:00,12,13
29:37:00,10,18
29:38:00,22,7
29:38:00,21,8
29:38:00,6,7
29:44:00,17,1
29:44:00,16,2
29:44:00,15,8
29:44:00,4,14
29:45:00,5,13
29:50:00,22,7
29:50:00,21,8
29:52:00,12,13
29:54:00,10,19
29:54:00,11,18
29:56:00,15,8
29:56:00,17,18
29:57:00,12,13
29:58:00,16,2
30:02:00,5,13
