timestep,start_lane,end_lane
21:11,10,19
21:14,11,18
21:14,3,19
21:18,14,8
21:20,15,2
21:21,16,1
21:21,17,18
21:21,5,12
21:25,21,8
21:25,20,13
21:26,10,19
21:26,11,18
21:32,4,13
21:33,5,12
21:34,17,18
21:34,3,19
21:40,16,1
21:40,14,8
21:40,11,12
21:42,10,19
21:43,17,18
21:45,21,8
21:45,22,7
21:46,11,18
21:48,4,13
21:48,20,13
21:49,3,19
21:52,5,12
21:54,14,8
21:55,16,1
21:55,17,18
21:59,10,19
22:01,11,18
22:01,21,8
22:01,22,7
22:02,20,13
22:04,4,13
22:04,5,12
22:06,3,19
22:08,16,1
22:08,17,18
22:10,14,8
22:13,11,18
22:14,21,8
22:15,9,2
22:16,22,7
22:16,10,19
22:17,20,13
22:19,4,13
22:20,17,18
22:22,15,2
22:22,5,12
22:22,3,19
22:26,17,18
22:28,14,8
22:31,22,7
22:32,21,8
22:32,10,19
22:34,11,18
22:34,20,13
22:35,9,2
22:36,5,12
22:36,4,13
22:40,17,18
22:40,16,1
22:40,15,2
22:40,3,19
22:46,10,19
22:46,22,7
22:47,11,18
22:48,21,8
22:48,20,13
22:52,4,13
22:55,16,1
22:55,15,2
22:58,14,8
22:59,5,12
23:03,11,13
23:04,10,19
23:04,20,13
23:04,22,7
23:10,16,1
23:10,14,8
23:12,3,19
23:13,4,13
23:13,5,12
23:16,22,7
23:18,10,19
23:18,11,18
23:21,22,1
23:22,5,12
23:24,3,19
23:24,4,13
23:24,20,13
23:31,16,1
23:31,15,2
23:32,10,19
23:35,11,18
23:36,22,7
23:38,21,8
23:40,14,8
23:40,11,12
23:41,22,1
23:42,3,19
23:43,4,13
23:44,5,12
23:47,4,13
23:48,20,13
23:51,9,2
23:52,10,19
23:53,11,12
23:56,17,18
23:59,17,18
23:59,16,1
23:59,5,12
24:01:00,3,19
24:01:00,4,13
24:03:00,22,7
24:04:00,14,8
24:08:00,21,8
24:10:00,20,13
24:13:00,10,19
24:14:00,11,18
24:16:00,5,12
24:19:00,16,1
24:19:00,15,2
24:21:00,14,8
24:22:00,3,19
24:24:00,21,8
24:24:00,20,13
24:24:00,14,8
24:26:00,11,12
24:27:00,10,19
24:27:00,22,7
24:31:00,3,18
24:33:00,5,12
24:33:00,11,18
24:35:00,4,13
24:36:00,16,1
24:36:00,15,2
24:36:00,14,8
24:41:00,14,8
24:43:00,21,8
24:43:00,22,1
24:44:00,10,19
24:45:00,20,13
24:47:00,17,18
24:48:00,11,18
24:52:00,11,18
24:54:00,4,13
24:54:00,5,12
25:02:00,16,1
24:12:00,3,19
25:13:00,22,7
25:14:00,21,8
25:16:00,17,18
25:16:00,15,2
25:17:00,16,1
25:20:00,3,19
25:20:00,4,13
25:20:00,17,18
25:22:00,15,2
25:23:00,5,12
25:26:00,17,18
25:30:00,21,8
25:30:00,20,13
25:31:00,22,7
25:31:00,20,13
25:32:00,11,18
25:32:00,10,19
25:36:00,3,19
25:36:00,5,12
25:36:00,11,12
25:39:00,15,2
25:40:00,16,1
25:41:00,6,7
25:44:00,11,12
25:46:00,20,13
25:46:00,21,8
25:46:00,22,7
25:50:00,10,18
25:50:00,17,18
25:53:00,5,12
25:54:00,16,1
25:54:00,15,2
25:57:00,3,19
26:01:00,9,2
26:05:00,21,8
26:05:00,20,13
26:06:00,10,19
26:07:00,22,7
26:07:00,21,8
26:08:00,20,13
26:09:00,11,18
26:12:00,3,19
26:12:00,5,12
26:13:00,16,1
26:13:00,15,2
26:13:00,4,13
26:19:00,14,8
26:21:00,20,13
26:22:00,3,19
26:22:00,10,19
26:26:00,11,12
26:26:00,6,7
26:29:00,21,8
26:30:00,16,1
26:31:00,15,2
26:31:00,17,18
26:31:00,22,7
26:34:00,17,18
26:34:00,5,12
26:34:00,4,13
26:34:00,3,19
26:37:00,14,8
26:42:00,22,7
26:42:00,21,8
26:42:00,20,13
26:44:00,20,13
26:45:00,17,18
26:49:00,10,19
26:49:00,11,18
26:50:00,5,12
26:50:00,4,13
26:51:00,10,19
26:53:00,3,19
26:55:00,16,1
26:55:00,15,2
26:57:00,14,8
26:58:00,17,18
27:01:00,11,18
27:02:00,22,7
27:03:00,21,8
27:03:00,10,19
27:03:00,20,13
27:05:00,10,19 
27:08:00,20,13
27:09:00,17,18
27:09:00,4,13
27:09:00,5,12
27:12:00,17,18
27:12:00,16,1
27:13:00,11,12
27:15:00,3,19
27:16:00,14,8
27:19:00,10,19
27:21:00,22,7
27:21:00,21,8
27:21:00,20,7
27:21:00,21,8
27:22:00,20,13
27:25:00,17,18
27:25:00,20,13
27:25:00,22,7
27:29:00,3,19
27:29:00,4,13
27:30:00,5,12
27:37:00,11,18
27:39:00,10,19
27:40:00,20,13
